"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","P_HS_1_2","auc"
"1000",0,112.22203740643,0,0,0.36764249008576,562.648647568081,NA
"1000",0.111111111111111,112.22203740643,0,0,0.37713162279568,504.698991114449,1
"1000",0.222222222222222,112.22203740643,0,0,0.599023084125532,659.797128490509,1
"1000",0.333333333333333,112.22203740643,0,0,0.882183140097703,730.507540250567,1
"1000",0.444444444444444,112.22203740643,0,0,1.1762448087922,789.068161116993,1
"1000",0.555555555555556,112.22203740643,0,0,1.46606207480492,963.281088948643,1
"1000",0.666666666666667,112.22203740643,0,0,1.75004119549455,1136.66733479076,1
"1000",0.777777777777778,112.22203740643,0,0,2.03376329973519,1236.69914405133,1
"1000",0.888888888888889,112.22203740643,0,0,2.32275214198555,1426.70913635648,1
"1000",1,112.22203740643,0,0,2.61893063574093,1684.62558822181,1
"1500",0,113.195118890216,0,0,0.340200057308698,346.09591503593,NA
"1500",0.111111111111111,113.195118890216,0,0,0.36552821411383,386.874085812997,1
"1500",0.222222222222222,113.195118890216,0,0,0.594302611072056,542.732128491543,1
"1500",0.333333333333333,113.195118890216,0,0,0.874062259586025,733.89402751642,1
"1500",0.444444444444444,113.195118890216,0,0,1.1626324685812,843.829843610138,1
"1500",0.555555555555556,113.195118890216,0,0,1.4491957943411,980.935825736942,1
"1500",0.666666666666667,113.195118890216,0,0,1.73329548034011,1201.64901293488,1
"1500",0.777777777777778,113.195118890216,0,0,2.02007528756508,1330.39008247447,1
"1500",0.888888888888889,113.195118890216,0,0,2.31410323662631,1370.58450230359,1
"1500",1,113.195118890216,0,0,2.61629398148137,1420.52068416786,1
"500",0,175.730855355894,0,0,0.347356632928302,396.394115598077,NA
"500",0.111111111111111,175.730855355894,0,0,0.381811902096328,420.500937715486,0.954545454545455
"500",0.222222222222222,175.730855355894,0,0,0.616127533577699,492.400751775263,0.977272727272727
"500",0.333333333333333,175.730855355894,0,0,0.900173218720681,634.25286307426,1
"500",0.444444444444444,175.730855355894,0,0,1.19217756579604,808.45941402736,1
"500",0.555555555555556,175.730855355894,0,0,1.48476204432422,861.478233024818,1
"500",0.666666666666667,175.730855355894,0,0,1.78018530006765,1102.50241057152,1
"500",0.777777777777778,175.730855355894,0,0,2.08077357829215,1214.12277537167,1
"500",0.888888888888889,175.730855355894,0,0,2.3870144714874,1169.25672255064,1
"500",1,175.730855355894,0,0,2.69820758707959,1586.58023588193,1
