"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","P_HS_1_2","auc"
"1000",0,114.931073399877,0,0,1.15506233474394,444.51446794864,0.64484126984127
"1000",0.111111111111111,114.931073399877,0,0,0.940841232152263,349.305790594676,0.498015873015873
"1000",0.222222222222222,114.931073399877,0,0,0.342454548543359,214.671664105428,0.609126984126984
"1000",0.333333333333333,114.931073399877,0,0,0.623408042981309,276.006892711299,0.950617283950617
"1000",0.444444444444444,114.931073399877,0,0,1.0869321562816,429.717138252265,0.978395061728395
"1000",0.555555555555556,114.931073399877,0,0,1.08016180299289,464.455128159921,0.981481481481482
"1000",0.666666666666667,114.931073399877,0,0,0.608397559626855,377.703292292016,0.864197530864197
"1000",0.777777777777778,114.931073399877,0,0,0.40076625466701,318.242357796037,0.521825396825397
"1000",0.888888888888889,114.931073399877,0,0,1.01763255554517,281.296482937946,0.587301587301587
"1000",1,114.931073399877,0,0,1.24799614082113,296.609786801559,0.60515873015873
"1500",0,110.697932974067,0,0,1.15190697021193,485.011196476257,0.60515873015873
"1500",0.111111111111111,110.697932974067,0,0,0.920387226532671,302.386535613874,0.573412698412698
"1500",0.222222222222222,110.697932974067,0,0,0.27644609968987,171.904686346552,0.53968253968254
"1500",0.333333333333333,110.697932974067,0,0,0.626588917326258,145.953328065784,0.907407407407407
"1500",0.444444444444444,110.697932974067,0,0,1.10870345153377,239.844377907194,1
"1500",0.555555555555556,110.697932974067,0,0,1.0987473699135,306.408350535468,0.981481481481482
"1500",0.666666666666667,110.697932974067,0,0,0.597966645548549,272.710522336233,0.783950617283951
"1500",0.777777777777778,110.697932974067,0,0,0.292137665404404,213.038254245413,0.563492063492063
"1500",0.888888888888889,110.697932974067,0,0,0.953180623557842,158.867786904579,0.589285714285714
"1500",1,110.697932974067,0,0,1.18172308449301,228.426116076913,0.648809523809524
"2000",0,87.4645341503154,0,0,1.14725290816596,460.04172895715,0.579365079365079
"2000",0.111111111111111,87.4645341503154,0,0,0.917156331466466,288.490236837403,0.515873015873016
"2000",0.222222222222222,87.4645341503154,0,0,0.26710847885974,159.032680502827,0.650793650793651
"2000",0.333333333333333,87.4645341503154,0,0,0.618648516187249,152.007000003747,0.962962962962963
"2000",0.444444444444444,87.4645341503154,0,0,1.10231643866695,252.232994553721,1
"2000",0.555555555555556,87.4645341503154,0,0,1.09355286606957,321.371415595001,0.996913580246914
"2000",0.666666666666667,87.4645341503154,0,0,0.595176276607425,278.52076618531,0.919753086419753
"2000",0.777777777777778,87.4645341503154,0,0,0.300261139340268,181.296639645695,0.551587301587302
"2000",0.888888888888889,87.4645341503154,0,0,0.959800171965634,177.768113617279,0.543650793650794
"2000",1,87.4645341503154,0,0,1.18951931340546,220.462302178181,0.682539682539683
"500",0,200.420467831186,0,0,1.19532987552793,590.069849373737,0.599206349206349
"500",0.111111111111111,200.420467831186,0,0,0.962936042473091,382.141502988615,0.603174603174603
"500",0.222222222222222,200.420467831186,0,0,0.375865442243636,309.165165678764,0.579365079365079
"500",0.333333333333333,200.420467831186,0,0,0.69050314814593,250.953417941721,0.740740740740741
"500",0.444444444444444,200.420467831186,0,0,1.15590383932004,297.362393889956,0.901234567901235
"500",0.555555555555556,200.420467831186,0,0,1.1354028107691,275.182550114893,0.839506172839506
"500",0.666666666666667,200.420467831186,0,0,0.626233896220351,258.076392941938,0.462962962962963
"500",0.777777777777778,200.420467831186,0,0,0.362545347159731,229.214103259379,0.613095238095238
"500",0.888888888888889,200.420467831186,0,0,1.01799725036466,196.040498649135,0.68452380952381
"500",1,200.420467831186,0,0,1.26415663748295,255.495176571667,0.579365079365079
