"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","P_HS_1_2","auc"
"300",0.777777777777778,303.85947387434,136282.425450608,2.42494724125559,2.3714158709211,3.37123872823998,0.954545454545455
"300",0.888888888888889,355.294009175453,160392.55002624,2.57190257339167,2.7101202309772,4.42354865695726,0.977272727272727
"300",1,413.760792866744,196196.796525799,2.85986302638583,3.04789877876958,5.9794661625892,1
"400",0,362.588073463648,342399.168476486,2.12838538493532,0.00177403336899729,0.00177372671700618,NA
"400",0.111111111111111,328.089690754272,291437.778034377,1.80231395615416,0.338506730366266,0.340570668308122,0.909090909090909
"400",0.222222222222222,306.830176298937,239548.347336042,1.65284940839114,0.677347894529487,0.694163029804504,0.613636363636364
"400",0.333333333333333,298.555438990175,195987.879280149,1.65490081178324,1.01618489137548,1.0747486149534,0.840909090909091
"400",0.444444444444444,290.080733522426,161351.116813305,1.72615482504484,1.35492001709438,1.50024274882086,0.977272727272727
"400",0.555555555555556,277.149990748726,134885.298093953,1.84234322577716,1.69365738582933,1.99569786097559,1
"400",0.666666666666667,267.157327482544,123768.300801161,1.9860036074279,2.03247342369771,2.59880011188326,1
"400",0.777777777777778,271.66627441306,129388.105673968,2.11997858345374,2.37130587787093,3.37113030274923,1
"400",0.888888888888889,298.282843546618,142317.557978047,2.29589648062911,2.7102018745242,4.4236324751782,1
"400",1,339.158214609984,155502.259389461,2.62159632190509,3.04909633793962,5.98066966324012,0.954545454545455
"500",0,340.758780810541,153439.855762231,1.71019565488221,0.00298809203991839,0.00298138275933367,NA
"500",0.111111111111111,284.79059262051,132728.655789918,1.16408124465911,0.338608010004365,0.340671318482893,0.613636363636364
"500",0.222222222222222,231.090283263408,119311.858601114,0.901941832520619,0.677524394370975,0.694338732784723,0.681818181818182
"500",0.333333333333333,189.732427010143,100317.792243648,0.935273277586946,1.01636686290634,1.07493017570497,0.522727272727273
"500",0.444444444444444,178.608055777799,77847.8966879337,1.12227778274279,1.35511827157371,1.50044213436527,0.590909090909091
"500",0.555555555555556,206.261408261009,75824.24735192,1.38671989177491,1.69380228530385,1.99584291388919,0.75
"500",0.666666666666667,249.037223342439,94810.3003761847,1.69681657798332,2.03247372117538,2.59879907582303,0.954545454545455
"500",0.777777777777778,284.494145454132,116412.147209377,2.03606030114125,2.3712973071582,3.37112023294709,0.931818181818182
"500",0.888888888888889,312.935184141559,135962.319087063,2.41703689047972,2.71016971808647,4.42359841282495,0.931818181818182
"500",1,342.532677412838,153797.233274033,2.85963716607524,3.04908123148091,5.98065405597633,1
