"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","P_HS_1_2","auc"
"1000",0,109.883347074817,0,0,2.63525211547332,1639.26485369014,1
"1000",0.111111111111111,109.883347074817,0,0,2.63318909353636,1441.64770131922,1
"1000",0.222222222222222,109.883347074817,0,0,2.63238371359447,1346.7303169905,1
"1000",0.333333333333333,109.883347074817,0,0,2.63246094850434,1573.34612954068,1
"1000",0.444444444444444,109.883347074817,0,0,2.63256710064059,1672.87127103352,1
"1000",0.555555555555556,109.883347074817,0,0,2.63239291251613,1716.72122889735,1
"1000",0.666666666666667,109.883347074817,0,0,2.63245773122821,1553.31540398444,1
"1000",0.777777777777778,109.883347074817,0,0,2.63322008212484,1575.68642361388,1
"1000",0.888888888888889,109.883347074817,0,0,2.63467955543015,1572.5540115745,1
"1000",1,109.883347074817,0,0,2.63671715961874,1425.64907565983,1
"1500",0,113.31675200834,0,0,2.65768475869673,1703.4371240097,1
"1500",0.111111111111111,113.31675200834,0,0,2.65141593754928,1412.52250297291,1
"1500",0.222222222222222,113.31675200834,0,0,2.64494190614206,1582.43473609791,1
"1500",0.333333333333333,113.31675200834,0,0,2.63965311710888,1725.42900250761,1
"1500",0.444444444444444,113.31675200834,0,0,2.6372467853802,1846.77202622537,1
"1500",0.555555555555556,113.31675200834,0,0,2.63751762670238,1874.06451909089,1
"1500",0.666666666666667,113.31675200834,0,0,2.63887425692141,1596.85767528748,1
"1500",0.777777777777778,113.31675200834,0,0,2.64063934867901,1675.95200375808,1
"1500",0.888888888888889,113.31675200834,0,0,2.64273290440813,1559.08546066085,1
"1500",1,113.31675200834,0,0,2.64495712322637,1777.51823322723,1
"500",0,155.269997890088,0,0,2.64913529754814,1564.70000702385,1
"500",0.111111111111111,155.269997890088,0,0,2.64285704562263,1433.65183697099,1
"500",0.222222222222222,155.269997890088,0,0,2.63872320635345,1391.44645490351,1
"500",0.333333333333333,155.269997890088,0,0,2.63698941860932,2029.87528047725,1
"500",0.444444444444444,155.269997890088,0,0,2.63696928419807,2188.76511235444,1
"500",0.555555555555556,155.269997890088,0,0,2.63730208832896,2231.50510042999,1
"500",0.666666666666667,155.269997890088,0,0,2.6377065948807,2079.09399412623,1
"500",0.777777777777778,155.269997890088,0,0,2.6393848010957,2013.95508908287,1
"500",0.888888888888889,155.269997890088,0,0,2.64333168531957,1972.78853375741,1
"500",1,155.269997890088,0,0,2.64931332062359,2174.2064308905,1
