"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","P_HS_1_2","auc"
"1000",0,224.323847691081,112656.833535878,1.18909236112625,1.37729018423156,1.5304458197299,0.907407407407407
"1000",0.111111111111111,193.860932560074,88910.7908446699,1.16559372584498,1.37723037003598,1.530386216966,0.919753086419753
"1000",0.222222222222222,164.614466205054,66139.06852911,1.2025470202197,1.37711512120418,1.5302712257468,0.959876543209877
"1000",0.333333333333333,142.092379786174,53925.4571883399,1.30830944116221,1.37684193663853,1.52999818602768,0.966049382716049
"1000",0.444444444444444,135.796577684042,57221.9423576568,1.45216710090376,1.37753013814296,1.53068593629035,0.932098765432099
"1000",0.555555555555556,147.677037491684,64438.4550206219,1.59249120142827,1.37754089797961,1.53069689942105,0.929012345679012
"1000",0.666666666666667,167.971914644378,69437.055903506,1.72564554934835,1.37757249189379,1.53072851970954,0.904320987654321
"1000",0.777777777777778,191.49772044369,79485.0152884228,1.83680043856631,1.37761972907131,1.5307759107414,0.87037037037037
"1000",0.888888888888889,215.931018953605,97112.5353702177,1.87416916644427,1.37680823368414,1.52996400894479,0.891975308641975
"1000",1,238.958465199591,114375.425132138,1.81966102189153,1.37688999311305,1.53004675029152,0.873456790123457
"1500",0,176.817919179992,74845.0178629036,1.12551268790204,1.37709754050033,1.53025286699277,0.990740740740741
"1500",0.111111111111111,149.991899920836,72588.33270976,1.06810603931612,1.37708283979599,1.5302384399093,0.975308641975309
"1500",0.222222222222222,131.553490871711,68323.7897937979,1.0222290852331,1.3771274196042,1.5302821136549,0.978395061728395
"1500",0.333333333333333,125.593568645131,61345.3482499706,0.995931073152832,1.37711443151521,1.53026975489102,1
"1500",0.444444444444444,129.117081093796,51319.6464377829,0.970966953032485,1.37709020416497,1.53024591628813,1
"1500",0.555555555555556,134.393684952592,42247.7964358444,0.957058711412554,1.37701168670543,1.53016716160539,1
"1500",0.666666666666667,139.282714023064,55492.6681255735,1.04398972336231,1.37701096613866,1.53016628611047,1
"1500",0.777777777777778,149.894340597743,93297.5803161188,1.24812028063978,1.37701925529113,1.5301749514368,1
"1500",0.888888888888889,168.194183977159,134754.304565707,1.46037238174456,1.37703112940029,1.53018665909896,0.996913580246914
"1500",1,189.561511278763,168451.914744986,1.60930585274049,1.37704618597142,1.53020176557144,0.990740740740741
"2000",0,154.567829519776,48133.5314376064,0.925034082211616,1.37720185938431,1.53035715322465,0.993827160493827
"2000",0.111111111111111,132.929411573546,45561.9914732198,0.938225466617767,1.37716607818217,1.53032037518419,0.981481481481482
"2000",0.222222222222222,117.134502208369,42485.0219443334,0.967382218399172,1.3771171889582,1.53027230552471,0.990740740740741
"2000",0.333333333333333,109.102315048903,39563.9937100775,0.992166003062428,1.3770260875597,1.53018164951673,0.990740740740741
"2000",0.444444444444444,110.7336433623,39190.8479292861,0.990083799665137,1.37689718037514,1.53005249868818,0.993827160493827
"2000",0.555555555555556,117.559507096692,42023.3575705989,0.969887656898488,1.37677854900491,1.5299339702406,1
"2000",0.666666666666667,121.883518329138,51132.2945723842,0.993592561422531,1.37676994274511,1.52992520248064,1
"2000",0.777777777777778,125.423423913814,70835.6227388726,1.08457393685591,1.37688149700057,1.53003683293956,1
"2000",0.888888888888889,132.651642024891,96064.8691269715,1.18761004496645,1.37697432300513,1.53012964323318,1
"2000",1,143.196363825874,119246.344203127,1.26350414594667,1.37706799681593,1.53022360833891,1
"500",0,331.277539665617,134763.515683144,1.98023364464032,1.37716767811816,1.53032373648716,0.947530864197531
"500",0.111111111111111,299.359716334609,126038.732073981,1.65336923872516,1.37717958876618,1.53033583553245,0.947530864197531
"500",0.222222222222222,266.27818583373,113687.47399521,1.31966145438666,1.37715500466003,1.53031107629379,0.919753086419753
"500",0.333333333333333,235.367356891179,97643.2704774388,1.12059929673985,1.37705411205053,1.53021003584172,0.987654320987654
"500",0.444444444444444,219.894189208496,88229.1493282242,1.06298173894724,1.37697083801664,1.53012686780214,0.996913580246914
"500",0.555555555555556,230.046927059615,96334.4967449807,1.11859417919443,1.37696644613361,1.53012283780397,0.993827160493827
"500",0.666666666666667,253.451535102749,131518.859588261,1.43606237330705,1.37696776911837,1.53012492641584,0.987654320987654
"500",0.777777777777778,279.509807094517,189267.094658471,1.88912596406495,1.37693545023381,1.53009326203371,0.993827160493827
"500",0.888888888888889,307.466479395568,245546.922861798,2.25742748943393,1.37686551952307,1.53002344378571,0.972222222222222
"500",1,335.534748920002,282538.33140321,2.47870484563184,1.37675957115614,1.52991718343621,0.929012345679012
