"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","P_HS_1_2","auc"
"1000",0,247.610512796452,122815.652250673,1.70096922783872,1.30685659829434,1.43618496903544,0.522727272727273
"1000",0.111111111111111,213.875172624572,108119.409461426,1.65414735929262,1.30681427452228,1.43614267504374,0.590909090909091
"1000",0.222222222222222,191.263741688721,104973.232780771,1.62996092252852,1.30666142362419,1.43598954822339,0.909090909090909
"1000",0.333333333333333,181.539221857314,113825.672896503,1.59547161820384,1.30652725501769,1.43585547752065,0.886363636363636
"1000",0.444444444444444,181.025406803929,120718.542230715,1.59537649454659,1.30626163242981,1.43558974344718,0.954545454545455
"1000",0.555555555555556,181.834944301344,138928.652796705,3.18232098657416,3.04944708562705,5.9810184878241,1
"1000",0.666666666666667,180.121449152386,96385.1391558797,2.59138389886558,3.04907864630863,5.98065018115536,1
"1000",0.777777777777778,177.206452971478,68277.9515180012,2.1684652421102,3.04883250744344,5.98040401441992,1
"1000",0.888888888888889,179.217205665558,63104.268914861,1.95114876617516,3.04872010197315,5.98029183458725,1
"1000",1,195.038229751951,67906.5270828745,1.88054049818712,3.04867566382565,5.98024810527623,1
"500",0,332.243090956925,162347.350193044,1.82765188017723,1.30676461935766,1.43609082460125,0.568181818181818
"500",0.111111111111111,289.231861978389,176941.923698359,1.87484812531463,1.30670084995982,1.43602959066503,0.568181818181818
"500",0.222222222222222,265.680265914151,193864.694467102,1.94549206759899,1.30665181073854,1.43598177588171,0.659090909090909
"500",0.333333333333333,255.806662736691,185891.195310914,1.91793253319564,1.30655846680004,1.43588850244196,0.840909090909091
"500",0.444444444444444,244.730355583594,150599.251236484,1.86386373353987,1.30629016899746,1.43561984189429,1
"500",0.555555555555556,232.098184456271,144635.548129329,2.68413759732986,3.04821923724907,5.97978887973878,1
"500",0.666666666666667,227.176065635122,104310.156633352,1.91437183385929,3.04919726970178,5.98076752743023,1
"500",0.777777777777778,230.850810334249,90112.0152294593,1.47951138025772,3.0488912647401,5.98046074395286,1
"500",0.888888888888889,249.242801443058,94867.9521364187,1.40490116914187,3.04860426336809,5.98017483940068,1
"500",1,293.370432282173,113428.673224994,1.54601237653989,3.04839766509379,5.97996898240084,1
